city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.35704270000001,1.81,3018.61,3258.86,5000.0
"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,88.96,2179.56,5000.0,5000.0
"Police Line, Saharsa - BSPCB",25.892357,86.590325,29.0,693.42,5000.0,5000.0
"Darshan Nagar, Chhapra - BSPCB",25.7808257,84.7446768,78.59,698.05,5000.0,5000.0
"Dangi Tola, Rajgir - BSPCB",25.0328,85.41948000000001,172.09,5000.0,1027.3,5000.0
"Forest Rest House, Manguraha - BSPCB",27.307773,84.529114,27.29,6158.96,7391.18,5000.0
"Buddhi Vihar, Moradabad - UPPCB",28.83526,78.7446,10.66,988.36,5000.0,5000.0
"New DM Office, Arrah - BSPCB",25.5626095,84.663264,38.54,5000.0,1737.17,5000.0
"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,54.01,4172.0,5000.0,5000.0
"Jigar Colony, Moradabad - UPPCB",28.856664,78.772638,43.4,2473.26,5000.0,5000.0
"Eco Herbal Park, Moradabad - UPPCB",28.840739000000003,78.69753100000001,65.39,3106.22,5000.0,5000.0
"Rohta, Agra - UPPCB",27.106972,78.000111,12.07,4049.99,3387.5,5000.0
"Sector-53, Chandigarh - CPCC",30.719859000000003,76.738637,57.05,1994.57,5000.0,4514.06
"Shivaji Nagar, Jhansi - UPPCB",25.4547,78.6039,11.63,4383.22,5000.0,5000.0
"Raikhad, Ahmedabad - IITM",23.020509,72.579261,48.5,365.22,533.93,4485.69
"Sardar Patel Inter College, Baghpat - UPPCB",28.964949,77.278761,52.13,4871.79,5000.0,5000.0
"HIMUDA Complex Phase-1, Baddi - HPPCB",30.943887,76.801991,28.98,645.59,5000.0,5000.0
"Bardowali, Agartala - Tripura SPCB",23.8175497,91.2726974,72.11,1112.52,3273.41,5000.0
"DM Office_Kasipur, Samastipur - BSPCB",25.859655,85.77944000000001,34.53,524.61,2693.36,5000.0
"Collector Office, Yadgir - KSPCB",16.7602,77.1428,18.21,480.21,5000.0,5000.0
"Gurdeo Nagar, Aurangabad - BSPCB",24.75746,84.366208,5.58,428.78,5000.0,5000.0
"JN Stadium, Shillong - Meghalaya PCB",25.5803419,91.8942571,89.93,372.63,164.62,4293.09
"Doon University, Dehradun - UKPCB",30.269444,78.044167,21.92,544.41,2084.57,5000.0
"Vibhab Nagar, Firozabad - UPPCB",27.1594,78.3953,21.69,1356.54,5420.23,5000.0
"ECIL Kapra, Hyderabad - TSPCB",17.470431,78.566959,18.24,767.64,2124.71,5000.0
"Kompally Municipal Office, Hyderabad - TSPCB",17.544898999999997,78.486949,20.06,440.66,585.07,5000.0
"Somajiguda, Hyderabad - TSPCB",17.417094,78.457437,12.68,35.07,4014.73,5000.0
"Nacharam_TSIIC IALA, Hyderabad - TSPCB",17.429398,78.569354,1.45,0.0,3240.76,5000.0
"IITH Kandi, Hyderabad - TSPCB",17.585704999999997,78.126199,14.77,2508.72,5000.0,5000.0
"Ramachandrapuram, Hyderabad - TSPCB",17.528544,78.28619499999999,16.69,504.75,905.28,5000.0
"Kokapet, Hyderabad - TSPCB",17.393559,78.33919399999999,5.75,784.6,1178.17,5000.0
"Rajendra Nagar, Bareilly - UPPCB",28.38910936,79.42963708,1.24,1048.28,6372.73,5000.0
"Kalindi Kunj, Khurja - UPPCB",28.2348927,77.8683002,35.13,4080.45,5000.0,5000.0
"New Malakpet, Hyderabad - TSPCB",17.37206,78.50864,15.54,456.05,856.25,5000.0
"Kashiram Nagar, Moradabad - UPPCB",28.849399,78.742362,14.55,1678.57,5000.0,5000.0
"Transport Nagar, Moradabad - UPPCB",28.802625,78.75372800000001,27.1,3436.56,5000.0,5000.0
"Kumaran College, Tirupur - TNPCB",11.0973603,77.3228673,9.98,559.39,5000.0,5000.0
"Bombay Castel, Ooty - TNPCB",11.4068288,76.7138973,69.73,10.34,1305.32,5000.0
"Chalai Bazaar, Ramanathapuram - TNPCB",9.36399,78.831977,10.51,2561.6,5000.0,3791.05
"Mendonsa Colony, Dindigul - TNPCB",10.358535,77.984321,19.94,633.65,1841.2,5000.0
"Gulzarpet, Anantapur - APPCB",14.675885999999998,77.593027,10.78,1161.0,4067.25,5000.0
"PSG College of Arts and Science, Coimbatore - TNPCB",11.0328,77.0349,19.67,845.39,2378.72,5000.0
"Civil Lines, Bareilly - UPPCB",28.359581,79.414455,110.17,1805.06,5000.0,5000.0
"Crescent University, Chengalpattu - TNPCB",12.8777316,80.08348070000001,6.99,2250.1,1215.63,5000.0
"Ramteerth Nagar, Belgaum - KSPCB",15.888653,74.541751,10.78,0.0,5000.0,2965.75
"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,24.41,669.82,2089.76,5000.0
"Girls College, Sivasagar - PCBA",26.987634000000003,94.636574,36.56,5653.36,1141.27,5000.0
Dhopagachi,22.3743,88.415,73.75,1671.42,5000.0,5000.0
GK1 (Oberoi Terrace),28.5500047,77.2431058,1.15,580.2,3357.54,6294.35
NASA GSFC Rutgers Calib. N8,28.31733,76.91603,31.22,3475.74,3331.96,3651.43
"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,71.01,8.46,1294.57,2694.03
"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714,15.06,1138.66,5000.0,5000.0
"Central School, Lucknow - CPCB",26.8821003,80.9302753,22.35,1177.39,863.77,5000.0
"Rabindra Bharati University, Kolkata - WBPCB",22.627875,88.3804,54.31,798.81,3330.36,2763.68
Haldia - WBSPCB,22.06047,88.109737,24.41,0.0,1267.05,5000.0
"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188,35.07,14.46,300.94,1335.93
"Worli, Mumbai - MPCB",18.9936162,72.8128113,9.34,213.86,2899.05,4724.65
"Bandra Kurla Complex, Mumbai - IITM",19.0627,72.84614,12.84,391.48,497.29,5000.0
"Deonar, Mumbai - IITM",19.04946,72.923,5.61,30.93,623.91,1474.82
"Bhosari, Pune - IITM",18.640051,73.848956,19.85,954.39,3658.77,5000.0
"GIFT City, Gandhinagar - IITM",23.163798,72.677768,14.19,213.7,3519.41,5000.0
"DRCC Anandpur, Begusarai - BSPCB",25.444266,86.140169,5000.0,5000.0,5000.0,5000.0
"Central Jail, Buxar - BSPCB",25.555605,83.950942,5000.0,5000.0,5000.0,5000.0
"Zero Point GICI, Gangtok - SSPCB",27.33853,88.614099,33.75,1167.39,2128.4,5000.0
"Keelapalur, Ariyalur - TNPCB",11.06825,79.07033,6.68,797.87,3165.71,5000.0
"Parisutham Nagar, Thanjavur - TNPCB",10.7654824,79.1389968,26.96,1388.32,3512.54,5000.0
"Semmandalam, Cuddalore - TNPCB",11.7637683,79.7499835,28.12,2158.65,294.46,5000.0
"Uchapatti, Madurai - TNPCB",9.865935,78.022669,23.75,0.0,4802.38,5000.0
"Velippalayam, Nagapattinam - TNPCB",10.798548,79.838212,14.26,2974.99,5000.0,5000.0
"Kudikadu, Cuddalore - TNPCB",11.6829898,79.7532099,27.63,0.0,5000.0,5000.0
"Sona College of Technology, Salem - TNPCB",11.679111,78.125052,6.53,868.12,5000.0,5000.0
"Kamadenu Nagar, Karur - TNPCB",10.96782,78.080882,113.77,3173.4,2009.21,5000.0
"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,14.08,3.1,1672.3,5000.0
"IITG, Guwahati - PCBA",26.202863600000004,91.70046436,192.79,169.73,5000.0,5000.0
