city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,23.95,296.85,19.57,5000.0
"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,17.49,430.37,1397.91,782.14
"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152,5.99,141.56,2500.0,5000.0
"Ward-32 Bapupara, Siliguri - WBPCB",26.6883049,88.412668,20.28,1496.52,1554.34,5000.0
"Tirumala, Tirupati - APPCB",13.67,79.35,37.45,409.53,2114.45,1853.58
"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053,32.35,1074.38,5094.58,5000.0
"IGSC Planetarium Complex, Patna - BSPCB",25.5941,85.1376,9.81,457.56,6017.17,4649.37
"Velachery Res. Area, Chennai - CPCB",13.0052189,80.2398125,26.02,429.31,4977.87,5613.03
"Lalbagh, Lucknow - CPCB",26.8458805,80.9365541,3.84,279.15,2393.52,5000.0
"Nehru Nagar, Kanpur - UPPCB",26.4703136,80.3229863,8.37,961.56,2035.31,5000.0
"Vasundhara, Ghaziabad - UPPCB",28.6603346,77.3572563,22.84,154.92,4297.74,5210.12
"Bhopal Chauraha, Dewas - MPPCB",22.9682591,76.064118,7.28,1236.08,5000.0,5000.0
"Pusa, Delhi - DPCC",28.639645,77.146262,15.28,237.86,15.22,5945.63
"Mandir Marg, New Delhi - DPCC",28.636429,77.201067,37.89,691.83,2417.94,5000.0
"IHBAS, Dilshad Garden,New Delhi - CPCB",28.6811736,77.3025234,16.14,747.34,2091.53,6968.94
"Ratanpura, Rupnagar - Ambuja Cements",31.0325454,76.5623046,117.95,168.87,5727.52,5000.0
"Bandhavgar Colony, Satna - Birla Cement",24.58434363,80.8549414,14.81,319.11,1716.35,5000.0
"New Mandi, Muzaffarnagar - UPPCB",29.4723508,77.7194031,8.23,406.21,2869.63,5000.0
"Indirapuram, Ghaziabad - UPPCB",28.646233,77.358075,10.02,664.63,2509.67,3965.86
"Colaba, Mumbai - MPCB",18.91,72.82,20.5,265.72,5000.0,5000.0
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738,0.0,63.3,2165.11,4085.05
"Gobind Pura, Yamuna Nagar - HSPCB",30.1480566,77.2893471,12.87,173.46,5000.0,5000.0
"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006,5.91,1003.48,3700.38,5000.0
"Alipur, Delhi - DPCC",28.815329,77.15301,27.58,207.61,3411.21,5000.0
"Shasthri Nagar, Ratlam - IPCA Lab",23.331731,75.045981,26.99,962.95,1503.83,5701.97
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484,18.34,1382.39,3496.38,2388.92
"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941,44.0,881.97,3780.26,5000.0
"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254,66.92,2897.42,4935.91,5000.0
"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,10.25,0.0,3268.01,5000.0
"Vivek Vihar, Delhi - DPCC",28.672342,77.31526,78.1,846.69,2207.47,5872.42
"Hardev Nagar, Bathinda - PPCB",30.233011,74.907758,16.98,0.0,5036.82,328.37
"Kalal Majra, Khanna - PPCB",30.736056,76.209694,177.67,860.1,4811.23,5000.0
