city,latitude,longitude,temperature,humidity,wind_speed,wind_direction
"Asansol Court Area, Asansol - WBPCB",23.685297,86.945968,24.17,72,1.4,128
"Sector-2 Industrial Area, Pithampur - MPPCB",22.624758,75.675238,24.79,15,2.78,50
"Peenya, Bengaluru - CPCB",13.0270199,77.494094,21.73,61,5.83,98
"GM Office, Brajrajnagar - OSPCB",21.8004996,83.8396977,23.45,45,2.06,128
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,22.39,82,1.61,108
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,28.12,16,0.79,349
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,23.04,16,1.79,344
"ITO, New Delhi - CPCB",28.628624,77.24106,28.18,16,0.93,37
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,24.88,75,2.7,193
"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB",23.5404352,87.2892225,24.16,75,1.84,193
"Sector - 62, Noida, UP - IMD",28.6245479,77.3577104,27.22,17,1.19,62
"Vindhyachal STPS, Singrauli - MPPCB",24.10897,82.64558,21.46,29,1.15,225
"Opp GPO Civil Lines, Nagpur - MPCB",21.152875,79.0517531,28.17,17,2.08,315
"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413,27.13,17,1.63,283
"Central University, Hyderabad - TSPCB",17.460103,78.334361,24.16,62,3.27,159
"IDA Pashamylaram, Hyderabad - TSPCB",17.5316895,78.218939,24.48,60,3.23,151
"RIMT University, Mandi Gobindgarh - PPCB",30.649961,76.331442,23.74,20,2.12,116
"DTU, New Delhi - CPCB",28.7500499,77.1112615,26.88,18,1.06,1
"CRRI Mathura Road, New Delhi - IMD",28.5512005,77.2735737,27.98,16,0.71,45
"GVM Corporation, Visakhapatnam - APPCB",17.722682,83.308197,24.95,74,2.61,234
"Shadipur, Delhi - CPCB",28.6514781,77.1473105,28.12,16,0.79,349
"Maninagar, Ahmedabad - GPCB",23.002657,72.591912,28.45,15,3.5,347
"Sector-D Industrial Area, Mandideep - MPPCB",23.10844,77.511428,25.64,16,2.23,347
"Police Commissionerate, Jaipur - RSPCB",26.9164092,75.7994901,23.52,16,2.14,338
"Lodhi Road, New Delhi - IMD",28.5918245,77.2273074,28.31,16,0.67,14
"Adarsh Nagar, Jaipur - RSPCB",26.902909,75.836858,24.1,15,2.45,334
"Shrinath Puram, Kota - RSPCB",25.14389,75.821256,27.33,15,0.34,246
"Indira Colony Vistar, Pali - RSPCB",25.771061,73.340227,25.82,14,2.57,135
"More Chowk Waluj, Aurangabad - MPCB",19.8389439,75.244448,27.47,14,2.84,88
"Sanegurava Halli, Bengaluru - KSPCB",12.990328,77.5431385,21.11,63,5.7,98
"ICRISAT Patancheru, Hyderabad - TSPCB",17.5184,78.278777,24.59,60,3.2,152
"Plammoodu, Thiruvananthapuram - Kerala PCB",8.5149093,76.9435879,23.79,74,1.71,29
"Sanathnagar, Hyderabad - TSPCB",17.4559458,78.4332152,24.24,62,3.31,155
"Ward-32 Bapupara, Siliguri - WBPCB",26.6883049,88.412668,23.99,48,1.08,29
