city,latitude,longitude,temperature,humidity,wind_speed,wind_direction
"Gulzarpet, Anantapur - APPCB",14.675885999999998,77.593027,25.99,51,2.89,102
"PSG College of Arts and Science, Coimbatore - TNPCB",11.0328,77.0349,23.41,60,2.76,59
"Civil Lines, Bareilly - UPPCB",28.359581,79.414455,21.62,25,2.31,58
"Crescent University, Chengalpattu - TNPCB",12.8777316,80.08348070000001,23.34,78,2.57,94
"Ramteerth Nagar, Belgaum - KSPCB",15.888653,74.541751,24.34,34,2.45,120
"Paryavaran Parisar, Bhopal - MPPCB",23.210494,77.425409,24.95,19,2.48,351
"Girls College, Sivasagar - PCBA",26.987634000000003,94.636574,22.91,51,1.97,155
Dhopagachi,22.3743,88.415,24.48,80,2.88,188
GK1 (Oberoi Terrace),28.5500047,77.2431058,26.98,18,0.62,27
NASA GSFC Rutgers Calib. N8,28.31733,76.91603,23.8,21,2.14,271
"BWSSB Kadabesanahalli, Bengaluru - CPCB",12.9352049,77.6814488,20.23,69,5.11,98
"Chauhan Colony, Chandrapur - MPCB",19.9629,79.298714,27.1,27,0.83,250
"Central School, Lucknow - CPCB",26.8821003,80.9302753,23.4,23,1.15,34
"Rabindra Bharati University, Kolkata - WBPCB",22.627875,88.3804,23.98,80,2.68,195
Haldia - WBSPCB,22.06047,88.109737,24.93,79,3.9,181
"Pimpleshwar Mandir, Thane - MPCB",19.192056,72.9585188,30.15,25,2.57,35
"Worli, Mumbai - MPCB",18.9936162,72.8128113,28.96,55,3.84,19
"Bandra Kurla Complex, Mumbai - IITM",19.0627,72.84614,29.23,48,3.43,23
"Deonar, Mumbai - IITM",19.04946,72.923,29.53,37,2.79,41
"Bhosari, Pune - IITM",18.640051,73.848956,26.69,17,2.68,82
"GIFT City, Gandhinagar - IITM",23.163798,72.677768,27.06,16,4.35,338
"DRCC Anandpur, Begusarai - BSPCB",25.444266,86.140169,24.48,59,2.47,129
"Central Jail, Buxar - BSPCB",25.555605,83.950942,24.22,54,3.05,127
"Zero Point GICI, Gangtok - SSPCB",27.33853,88.614099,15.88,65,1.36,53
"Keelapalur, Ariyalur - TNPCB",11.06825,79.07033,21.61,87,2.62,10
"Parisutham Nagar, Thanjavur - TNPCB",10.7654824,79.1389968,20.48,91,2.33,22
"Semmandalam, Cuddalore - TNPCB",11.7637683,79.7499835,24.79,73,4.76,71
"Uchapatti, Madurai - TNPCB",9.865935,78.022669,23.72,70,2.74,55
"Velippalayam, Nagapattinam - TNPCB",10.798548,79.838212,24.39,70,4.92,68
"Kudikadu, Cuddalore - TNPCB",11.6829898,79.7532099,25.08,72,5.19,72
"Sona College of Technology, Salem - TNPCB",11.679111,78.125052,21.55,77,2.34,85
"Kamadenu Nagar, Karur - TNPCB",10.96782,78.080882,22.54,76,4.78,124
"Kalabhavan, Dharwad - KSPCB",15.459706,75.008381,26.7,32,4.95,92
"IITG, Guwahati - PCBA",26.202863600000004,91.70046436,24.39,49,1.4,208
