location_id,name,latitude,longitude,pollutants,timezone
51,Wieringerwerf-Medemblikkerweg,52.803700000000006,5.05051,"no,no2,o3,pm10,pm25",Europe/Amsterdam
52,Rotterdam-Oost Sidelinge A13,51.938472000211014,4.430691999983553,"no,no2,pm10,pm25",Europe/Amsterdam
53,Shenyang,41.78,123.42,pm25,Asia/Shanghai
54,Talagante,-33.673752071375,-70.953064737434,"co,no2,o3,pm10,pm25,so2",America/Santiago
55,Utrecht-Kardinaal de Jongweg,52.105,5.12446,"no,no2,o3,pm10,pm25",Europe/Amsterdam
57,"Khlong Nueng, Khlong Luang",14.040299305494,100.60873959621,"co,no2,o3,pm10,so2",Asia/Bangkok
58,Zegveld-Oude Meije,52.137949999962665,4.83819000034937,"co,no,no2,o3,pm10",Europe/Amsterdam
59,Nisekh,47.863943,106.779094,"co,no2,o3,pm10,pm25,so2",Asia/Ulaanbaatar
60,Haringey Roadside,51.5993,-0.068218,"no2,pm25",Europe/London
61,Coya Población,-34.203524,-70.529854,so2,America/Santiago
63,Philippine-Stelleweg,51.29446600001544,3.7494090003978005,"no,no2,o3,pm10,so2",Europe/Amsterdam
64,Mustang Bayou C619,29.308562,-95.19991,"no2,o3",America/Chicago
65,Punteras,-36.923329602986,-73.036132300941,"co,no2,o3,pm10,pm25,so2",America/Santiago
66,"Bang Khun Thian, Chom Thong",13.684229480854,100.44598735492,"co,no2,o3,pm10",Asia/Bangkok
67,Ventanas,-32.77898790221,-71.373031276855,"co,no2,o3,pm10,pm25,so2",America/Santiago
68,Cerro Merquín,-37.021182877699,-73.149555550926,"pm10,pm25,so2",America/Santiago
69,Kingston College,-36.784653741124,-73.052063025795,"co,o3,pm10,pm25,so2",America/Santiago
71,Biest Houtakker-Biestsestraat,51.51838800001479,5.148450000227909,"no,no2,o3,pm10,pm25",Europe/Amsterdam
72,Curicó,-34.974925077541,-71.233967512329,"pm10,pm25",America/Santiago
73,Coyhaique II,-45.579045667164,-72.049964505825,"co,no2,o3,pm10,pm25,so2",America/Santiago
74,Leiden-Willem de Zwijgerlaan,52.1678,4.50756,pm10,Europe/Amsterdam
76,De Zilk-Vogelaarsdreef,52.296600000000005,4.51082,"no,no2,o3,pm10,pm25,so2",Europe/Amsterdam
77,Hoek v. Holland-Berghaven,51.97783000007194,4.121903000365913,"no,no2,o3,pm10,pm25,so2",Europe/Amsterdam
79,Hilversum-J. Gerardtsweg,52.23510000000001,5.18155,"no2,pm10,pm25",Europe/Amsterdam
