date,pm2_5,pm10,no2,so2,co,ozone,station
2025-06-01,52.05,112.73,26.222845528455288,6.41,0.29,66.42,AHEMEDABAD
2025-06-02,41.96506849315068,83.59253424657534,26.222845528455288,44.25,0.5488275862068966,43.59,AHEMEDABAD
2025-06-03,41.96506849315068,83.59253424657534,26.222845528455288,17.2,0.61,49.32,AHEMEDABAD
2025-06-04,41.96506849315068,83.59253424657534,26.222845528455288,9.671383647798741,0.5488275862068966,26.406645962732917,AHEMEDABAD
2025-06-05,24.14,42.87,25.94,5.1,0.27,38.38,AHEMEDABAD
2025-06-06,61.9,109.27,26.222845528455288,3.5,0.8,14.0,AHEMEDABAD
2025-06-07,23.11,42.89,38.96,1.16,0.08,8.76,AHEMEDABAD
2025-06-08,27.72,56.68,11.14,1.72,0.04,16.68,AHEMEDABAD
2025-06-09,24.63,49.11,13.33,2.35,0.69,17.45,AHEMEDABAD
2025-06-10,9.74,26.22,14.26,1.62,0.02,7.49,AHEMEDABAD
2025-06-11,44.23,99.12,35.67,5.41,0.7,21.57,AHEMEDABAD
2025-06-12,38.92,80.51,16.78,7.43,0.57,28.76,AHEMEDABAD
2025-07-01,44.83,95.09,41.73,27.2,0.74,48.28,AHEMEDABAD
2025-07-02,41.96506849315068,83.59253424657534,26.222845528455288,40.86,0.5488275862068966,43.32,AHEMEDABAD
2025-07-03,41.96506849315068,83.59253424657534,26.222845528455288,16.72,0.52,39.12,AHEMEDABAD
2025-07-04,83.63,145.72,88.58,10.65,0.85,54.05,AHEMEDABAD
2025-07-05,14.93,26.45,25.45,4.01,0.21,32.48,AHEMEDABAD
2025-07-06,50.0,87.76,26.222845528455288,3.23,0.25,17.48,AHEMEDABAD
2025-07-07,26.61,46.91,13.35,1.54,0.02,9.87,AHEMEDABAD
2025-07-08,30.74,61.88,10.71,2.03,0.23,20.74,AHEMEDABAD
2025-07-09,12.14,23.92,7.59,2.94,0.14,79.4,AHEMEDABAD
2025-07-10,29.61,59.11,23.73,2.27,0.46,9.67,AHEMEDABAD
2025-07-11,55.43,118.07,53.37,7.09,1.7,23.19,AHEMEDABAD
2025-07-12,38.59,78.95,21.03,12.83,0.75,26.12,AHEMEDABAD
2025-08-01,44.66,94.51,44.08,13.79,0.51,53.03,AHEMEDABAD
2025-08-02,41.96506849315068,83.59253424657534,26.222845528455288,9.671383647798741,0.5488275862068966,26.406645962732917,AHEMEDABAD
2025-08-03,41.96506849315068,83.59253424657534,26.222845528455288,38.9,0.4,39.08,AHEMEDABAD
2025-08-04,65.37,118.61,64.54,24.12,0.46,61.76,AHEMEDABAD
2025-08-05,23.68,48.12,25.02,3.75,0.25,33.29,AHEMEDABAD
2025-08-06,48.21,84.7,26.222845528455288,3.3,0.05,17.51,AHEMEDABAD
2025-08-07,34.98,62.18,12.31,7.63,0.35,9.16,AHEMEDABAD
2025-08-08,31.6,63.96,10.85,2.48,0.34,20.05,AHEMEDABAD
2025-08-09,22.33,48.04,8.11,2.65,0.78,19.14,AHEMEDABAD
2025-08-10,53.53,102.53,33.81,5.52,0.45,8.72,AHEMEDABAD
2025-08-11,53.47,112.42,61.17,4.77,1.69,21.44,AHEMEDABAD
2025-08-12,33.52,68.09,22.35,8.02,0.86,19.72,AHEMEDABAD
2025-09-01,43.83,92.94,42.34,15.94,0.35,52.86,AHEMEDABAD
2025-09-02,41.96506849315068,83.59253424657534,26.222845528455288,9.671383647798741,0.5488275862068966,26.406645962732917,AHEMEDABAD
2025-09-03,41.96506849315068,83.59253424657534,26.222845528455288,34.77,0.38,54.05,AHEMEDABAD
2025-09-04,53.06,100.69,51.96,21.1,0.36,61.23,AHEMEDABAD
2025-09-05,21.65,45.25,24.44,3.56,0.16,45.36,AHEMEDABAD
2025-09-06,46.3,80.48,26.222845528455288,3.19,0.0,14.82,AHEMEDABAD
2025-09-07,39.12,69.54,59.16,5.98,0.8,8.01,AHEMEDABAD
2025-09-08,27.97,56.16,9.36,2.27,0.44,19.3,AHEMEDABAD
2025-09-09,32.39,68.23,9.16,2.58,0.6,19.85,AHEMEDABAD
2025-09-10,82.79,155.48,50.11,7.73,0.63,13.39,AHEMEDABAD
2025-09-11,56.69,113.47,61.53,6.43,1.02,20.89,AHEMEDABAD
2025-09-12,35.92,71.26,27.68,10.13,0.81,19.41,AHEMEDABAD
2025-10-01,49.54,103.94,40.59,22.1,0.72,52.07,AHEMEDABAD
2025-10-02,88.28,179.04,26.222845528455288,9.671383647798741,0.5488275862068966,23.23,AHEMEDABAD
2025-10-03,41.96506849315068,83.59253424657534,26.222845528455288,19.33,0.36,48.27,AHEMEDABAD
2025-10-04,32.2,60.74,42.68,28.03,0.2,67.18,AHEMEDABAD
2025-10-05,33.76,65.44,24.28,3.65,0.11,38.85,AHEMEDABAD
2025-10-06,37.67,65.79,26.222845528455288,3.0,0.2,14.09,AHEMEDABAD
2025-10-07,35.06,61.82,42.46,5.34,0.55,6.43,AHEMEDABAD
2025-10-08,28.25,56.87,9.33,3.02,0.28,20.43,AHEMEDABAD
