city,latitude,longitude,pollutant,value,last_updated
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,co,0.38,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,pm25,60.0,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,o3,38.4,2026-03-03T12:30:00Z
"Secretariat, Amaravati - APPCB",16.5150833,80.5181667,pm10,128.0,2026-03-03T12:30:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,pm10,143.91,2026-03-03T12:15:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,no2,53.3356,2026-03-03T12:15:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,pm25,51.6,2026-03-03T12:15:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,co,0.2519,2026-03-03T12:15:00Z
"Burari Crossing, New Delhi - IMD",28.7256504,77.2011573,o3,195.7452,2026-03-03T12:15:00Z
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,o3,39.4,2026-03-03T12:15:00Z
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,pm10,102.15,2026-03-03T12:15:00Z
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,no2,28.66,2026-03-03T12:15:00Z
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,so2,17.44,2026-03-03T12:15:00Z
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,pm25,36.78,2026-03-03T12:15:00Z
"Civil Line, Jalandhar - PPCB",31.321907,75.578914,co,1.23,2026-03-03T12:15:00Z
"Model Town, Patiala - PPCB",30.349388,76.366642,pm10,97.14,2026-03-03T12:00:00Z
"Model Town, Patiala - PPCB",30.349388,76.366642,so2,1.35,2026-03-03T12:00:00Z
"Model Town, Patiala - PPCB",30.349388,76.366642,pm25,29.46,2026-03-03T12:15:00Z
"Model Town, Patiala - PPCB",30.349388,76.366642,o3,20.85,2026-03-03T12:00:00Z
"Model Town, Patiala - PPCB",30.349388,76.366642,no2,12.88,2026-03-03T12:00:00Z
"Model Town, Patiala - PPCB",30.349388,76.366642,co,0.38,2026-03-03T12:00:00Z
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,o3,27.16,2026-03-03T12:30:00Z
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,co,0.81,2026-03-03T12:30:00Z
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,so2,13.62,2026-03-03T12:30:00Z
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,pm10,77.49,2026-03-03T12:30:00Z
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,pm25,40.4,2026-03-03T12:30:00Z
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,no2,21.55,2026-03-03T12:30:00Z
"Golden Temple, Amritsar - PPCB",31.62,74.876512,co,0.51,2026-03-03T12:30:00Z
"Golden Temple, Amritsar - PPCB",31.62,74.876512,pm25,18.26,2026-03-03T12:30:00Z
"Golden Temple, Amritsar - PPCB",31.62,74.876512,so2,10.22,2026-03-03T12:30:00Z
"Golden Temple, Amritsar - PPCB",31.62,74.876512,pm10,41.1,2026-03-03T12:30:00Z
"Golden Temple, Amritsar - PPCB",31.62,74.876512,o3,45.88,2026-03-03T12:30:00Z
"Golden Temple, Amritsar - PPCB",31.62,74.876512,no2,19.49,2026-03-03T12:30:00Z
"Collectorate, Gaya - BSPCB",24.7955,84.9994,no2,6.4,2026-03-03T08:00:00Z
"Collectorate, Gaya - BSPCB",24.7955,84.9994,so2,22.6,2026-02-25T02:00:00Z
"Collectorate, Gaya - BSPCB",24.7955,84.9994,pm25,37.0,2026-03-03T08:00:00Z
