station,distance_to_major_road_km,distance_to_industrial_zone_km,distance_to_dump_site_km,distance_to_farmland_km
DELHI_CHANDINI_CHOWK,1.7986978599223522,3.315280550464632,5.100103045086867,10.854132505748948
DELHI_ANANT_VIHAR,0.4013707532213574,2.0443371398375145,2.4001808844250854,8.805003786354776
BHOPAL,3.1592963086248727,5.337774887574614,1.9922467916378563,2.6709062573327333
MUMBAI,3.2410699100396854,1.5529613123603698,0.5874009671890752,17.220830312612
KOLKATA,6.270733098788169,7.520460494253219,6.662361880977933,11.544362933105452
BENGELURU,3.03382400495686,0.4657267753330984,3.120988568293806,21.086572475877347
CHENNAI,9.364081273801776,0.5423868814874818,1.9787811411317566,16.168722326838473
LUCKNOW,0.0,5.938662337981612,1.6485376712437152,5.89177556498083
HYDERABAD,17.415480427662626,1.4949692239022507,2.4389696039129456,6.711633727814621
AHEMEDABAD,3.319792640554049,0.0,1.5111939451562424,9.912853643822062
