city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km,year,month,day,hour,day_of_week,season,road_proximity,industry_proximity
ahmedabad,23.0225,72.5714,2025-11-14 00:00:00,-0.5880549948133116,-0.13785917619831145,-0.8043205251064337,-0.8821127614626568,27.3,-0.8166692380839182,-0.48626473436819706,0.004094641658132827,0.8672615215488916,54,-1.303405274167494,0.44479552023478347,0.0,0.7873704342236211,2025,11,14,0,4,3,124.24832867360685,0.558069868971395
hyderabad,17.385,78.4867,2025-11-14 00:00:00,-0.33225940801869785,-0.19895761297367426,-0.15687845105540915,-0.06824458842510256,61.9,0.47007533800248136,-0.855175608831121,0.5873140360947686,-0.6958240239796051,7,1.9425924477533985,1.3255112319937157,-0.036982194042795444,-1.7891644189032367,2025,11,14,0,4,3,19.882815062242454,0.39603911318559004
kolkata,22.5726,88.3639,2025-11-14 00:00:00,1.0782022387927237,0.2847383448312817,-1.0137870784758827,1.9401381124815238,154.1,0.4073073099007058,-0.5600469092607816,1.1219318143283514,-0.5949797952358312,337,1.2031166012388552,-0.16908702123881622,0.23256762446962248,1.1781129426923302,2025,11,14,0,4,3,24.587849250420973,0.780706564798492
delhi,28.6139,77.209,2025-11-14 00:00:00,0.2199721859023841,-0.04621152103526713,-0.7281508693357249,0.7834779182421054,98.5,-0.10739052053385403,-1.3900963768023604,0.6845172685008746,-0.36808028056233966,279,0.6856508401454493,1.680996711650915,-0.6056299175206125,1.1372634211798447,2025,11,14,0,4,3,29.467460806877423,0.3544953745262739
lucknow,26.8467,80.9462,2025-11-14 00:00:00,-0.047776465695716246,-0.585914379217639,-0.4615570741382442,1.0673854204645081,112.9,-0.12622092896438675,-1.2240864832940446,0.8789237333130866,-0.09075865151696133,308,-2.399177530668937e-15,2.667504533207972e-16,0.0,-3.0150868479270346e-16,2025,11,14,0,4,3,39.980698384971745,0.7034129652330101
chennai,13.0827,80.2707,2025-11-14 00:00:00,-0.7243199335730591,-1.0034203638492851,0.5286484508809698,-0.5771750738904465,34.8,-1.0363573364401328,0.9340421323140606,0.10129787406423879,2.0269701521022925,31,0.17016680978537055,-0.9889586753707975,0.0,1.140398860442634,2025,11,14,0,4,3,36.72855661069761,1.6710528350076423
mumbai,19.076,72.8777,2025-11-14 00:00:00,-0.42549331348589353,0.42730136397379503,-0.8233629390491108,-0.36687322039237047,51.2,0.3257088733683975,0.08554712104933532,0.10129787406423879,-0.3176581661904526,54,-0.418574795351877,-1.5350326215952947,1.7829441662228016,-0.9821680915704445,2025,11,14,0,4,3,51.11333533629457,6.950717273708486
bengaluru,12.9716,77.5946,2025-11-14 00:00:00,-0.6382578669879554,-0.8099419807273028,0.014503274428685575,-1.081899522285829,18.2,-1.061464547680843,-0.33870038458302737,1.7051512087649874,1.0185278646645526,67,-0.23907549265484537,-1.2665721138750237,-1.3505537651969002,0.07532795872469701,2025,11,14,0,4,3,45.66099750375892,2.722287664202811
pune,18.5204,73.8567,2025-11-14 00:00:00,-0.5521958004028518,-0.5706397700237982,-0.6710236275076933,-0.7559316493638112,32.0,-0.8417764493246285,-0.7998389776616822,0.7331188847039276,-1.6790552542314015,117,-0.6550077498570056,0.006122175832285481,-1.5235588167726977,-0.8959622647681503,2025,11,14,0,4,3,60.65304649941548,0.7009004565590577
jaipur,26.9124,75.7873,2025-11-14 00:00:00,-0.3179157302545139,-0.07676073942294845,-0.937617422705174,0.4659221194600108,79.6,-0.6158115481582364,-1.6298884452032611,0.34430595507950373,-0.9731456530249835,357,-1.3854633868918491,0.5022247923682317,1.5012129028405814,-0.6511788420212952,2025,11,14,0,4,3,143.25783502169855,0.543568427645842
