city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km,year,month,day,hour,day_of_week,season,road_proximity,industry_proximity,pollution_source,date
4,17.385,78.4867,1580,-0.643039093,-0.977962682,0.871411902,-0.861082576,28.5,-0.854330055,1.192279744,-1.405352228,-0.242024995,150,1.942592448,1.325511232,-0.036982194,-1.789164419,2026,1,19,6,0,0,19.88281506,0.396039113,Natural,1580
1,12.9716,77.5946,619,-0.671726448,-0.799758908,0.243012242,-0.673913926,37.4,-0.546766717,-0.707611259,0.976126966,0.942894693,57,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,9,22,1,0,45.6609975,2.722287664,Natural,619
0,23.0225,72.5714,1401,0.066972956,-0.102218421,-0.499641902,-0.341636998,53,-0.421230661,-0.26491821,0.004094642,0.312618263,8,-1.303405274,0.44479552,0,0.787370434,2026,1,11,18,6,0,124.2483287,0.558069869,Natural,1401
9,18.5204,73.8567,1583,-0.929912648,-0.988145755,1.118963283,-0.858979558,26.7,-0.716240393,1.432071813,-1.599758693,-0.468924509,268,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,1,19,9,0,0,60.6530465,0.700900457,Natural,1583
2,13.0827,80.2707,781,-1.111599233,-0.896498099,-0.499641902,-1.210183653,8.5,-1.224661421,0.804923326,1.267736663,2.052181209,39,0.17016681,-0.988958675,0,1.14039886,2025,12,16,16,1,0,36.72855661,1.671052835,Natural,781
1,12.9716,77.5946,1020,-0.286837762,0.228731444,-0.728150869,-0.604514315,39.9,-0.766454816,-0.320254841,0.344305955,0.438673549,107,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,26,17,4,0,45.6609975,2.722287664,Natural,1020
8,19.076,72.8777,1706,-0.604789286,-0.346612169,0.738115004,-0.1376442,47.8,-0.232926577,0.749586695,-0.141710207,1.77485958,326,-0.418574795,-1.535032622,1.782944166,-0.982168092,2026,1,24,12,5,0,51.11333534,6.950717274,Natural,1706
9,18.5204,73.8567,1896,-0.824725678,-0.932138854,0.661945348,-0.455199999,46.8,-0.986142914,1.302953007,-1.405352228,1.674015351,62,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,2,1,12,6,0,60.6530465,0.700900457,Natural,1896
9,18.5204,73.8567,447,-0.160135275,-0.468809042,-0.061666381,-0.146056274,62.6,-0.23920338,-0.301809297,-0.093108591,-0.368080281,93,-0.65500775,0.006122176,-1.523558817,-0.895962265,2025,12,2,18,1,0,60.6530465,0.700900457,Natural,447
9,18.5204,73.8567,1751,-0.98011552,-1.0085119,0.700030176,-0.989366707,21.8,-1.080294956,1.450517357,-1.113742531,0.312618263,210,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,1,26,10,0,0,60.6530465,0.700900457,Natural,1751
2,13.0827,80.2707,1277,-0.709976256,-0.921955781,0.338224311,-0.368976239,48.2,-1.168170195,1.026269851,0.004094642,3.060623497,44,0.17016681,-0.988958675,0,1.14039886,2026,1,6,11,1,0,36.72855661,1.671052835,Natural,1277
9,18.5204,73.8567,1888,0.172159927,-0.38734446,-0.328260177,-0.12292307,62.9,-0.615811548,0.251557015,-0.530523137,-0.544557681,57,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,2,1,4,6,0,60.6530465,0.700900457,Natural,1888
1,12.9716,77.5946,1810,-0.623914189,-0.631738207,-0.175920865,-0.440478869,47.4,-0.741347604,-0.633829084,1.364939895,0.993316807,85,-0.239075493,-1.266572114,-1.350553765,0.075327959,2026,1,28,21,2,0,45.6609975,2.722287664,Natural,1810
2,13.0827,80.2707,404,-1.070958813,-0.957596536,-0.156878451,-1.279583265,6.9,-1.212107815,0.491349083,1.802354441,3.136256668,344,0.17016681,-0.988958675,0,1.14039886,2025,11,30,22,6,3,36.72855661,1.671052835,Natural,404
2,13.0827,80.2707,1138,-0.846241195,-0.774301226,-0.023581553,-0.503569425,42,-1.193277407,0.712695608,1.316338279,1.094161036,51,0.17016681,-0.988958675,0,1.14039886,2025,12,31,15,2,0,36.72855661,1.671052835,Natural,1138
1,12.9716,77.5946,626,-0.676507674,-0.652104352,0.471521209,-0.863185595,26.3,-0.490275492,0.657358976,-1.648360309,1.522749008,65,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,10,5,2,0,45.6609975,2.722287664,Natural,626
9,18.5204,73.8567,847,-1.049443296,-0.876131954,0.376309139,-1.302716468,7.8,-0.961035703,1.4689629,-2.085774855,0.96810575,53,-0.65500775,0.006122176,-1.523558817,-0.895962265,2025,12,19,11,4,0,60.6530465,0.700900457,Natural,847
0,23.0225,72.5714,362,-0.267712858,-0.239689904,-0.575811558,-0.469921129,47.1,-0.414953858,0.638913433,-0.141710207,0.16135192,84,-1.303405274,0.44479552,0,0.787370434,2025,11,29,4,5,3,124.2483287,0.558069869,Natural,362
1,12.9716,77.5946,942,-0.556977026,-0.677562034,0.871411902,-0.72648939,33.6,-0.917098083,0.82336887,-1.113742531,0.539517778,85,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,23,10,1,0,45.6609975,2.722287664,Natural,942
1,12.9716,77.5946,441,-0.384852893,-0.000387693,-0.328260177,-1.144990078,15.4,-0.841776449,0.251557015,0.976126966,0.993316807,41,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,12,2,12,1,0,45.6609975,2.722287664,Natural,441
7,26.8467,80.9462,1633,-0.564148865,-0.682653571,0.395351553,-0.429963776,47.8,-0.383569844,0.472903539,-1.065140915,1.195005265,284,-2.40E-15,2.67E-16,0,-3.02E-16,2026,1,21,11,2,0,39.98069838,0.703412965,Natural,1633
8,19.076,72.8777,1361,-0.528289671,-0.209140686,-0.709108455,-0.499363388,45.3,-0.163881746,-0.338700385,0.295704339,-0.19160288,38,-0.418574795,-1.535032622,1.782944166,-0.982168092,2026,1,10,0,5,0,51.11333534,6.950717274,Natural,1361
4,17.385,78.4867,747,-0.497211702,-0.972871145,1.671193287,-0.305885683,52.5,-0.032068887,0.657358976,-0.822132834,-0.468924509,92,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,15,6,0,0,19.88281506,0.396039113,Natural,747
4,17.385,78.4867,2050,0.552267387,0.213456835,-0.137836037,-0.049317422,65.9,0.551673775,-0.098908316,-0.822132834,-0.141180766,45,1.942592448,1.325511232,-0.036982194,-1.789164419,2026,2,8,2,6,0,19.88281506,0.396039113,Natural,2050
0,23.0225,72.5714,1218,-0.542633349,-0.524815942,-0.861447767,-0.785373909,30.3,-0.772731618,-1.039631046,1.073330198,0.489095664,54,-1.303405274,0.44479552,0,0.787370434,2026,1,4,0,6,0,124.2483287,0.558069869,Natural,1218
2,13.0827,80.2707,1472,-0.578492543,-0.49935826,0.033545688,-0.755931649,30.7,-1.105402167,0.52824017,1.267736663,-0.090758652,97,0.17016681,-0.988958675,0,1.14039886,2026,1,14,18,2,0,36.72855661,1.671052835,Natural,1472
9,18.5204,73.8567,1984,0.133910119,-0.504449797,-0.214005693,0.108408969,73.1,-0.421230661,0.288448102,-0.530523137,-0.393291338,55,-0.65500775,0.006122176,-1.523558817,-0.895962265,2026,2,5,4,3,0,60.6530465,0.700900457,Natural,1984
4,17.385,78.4867,995,0.509236354,0.269463736,-0.423472246,-0.438375851,47.1,-0.176435351,0.122438208,-0.579124753,-0.19160288,90,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,25,16,3,0,19.88281506,0.396039113,Natural,995
4,17.385,78.4867,918,-0.38246228,-0.871040418,1.328429836,-0.684429019,35.6,-0.226649774,1.192279744,-1.405352228,0.035296634,72,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,22,10,0,0,19.88281506,0.396039113,Natural,918
0,23.0225,72.5714,417,-0.669335835,-0.244781441,0.642902935,-0.28064946,55.6,-0.440061069,1.376735182,-1.25954738,-0.216813937,47,-1.303405274,0.44479552,0,0.787370434,2025,12,1,12,0,0,124.2483287,0.558069869,Natural,417
1,12.9716,77.5946,267,-0.475696186,-0.621555134,0.204927414,-0.806404094,30.4,-1.086571759,0.214665927,0.198501106,1.573171123,69,-0.239075493,-1.266572114,-1.350553765,0.075327959,2025,11,25,4,1,3,45.6609975,2.722287664,Natural,267
4,17.385,78.4867,2019,0.753078876,-0.010570766,-0.309217763,-0.291164553,54.9,-0.358462633,0.565131258,-0.676327985,-0.594979795,80,1.942592448,1.325511232,-0.036982194,-1.789164419,2026,2,6,16,4,0,19.88281506,0.396039113,Natural,2019
2,13.0827,80.2707,1995,-0.992068585,-0.667378962,-0.271132935,-1.0566633,16,-1.212107815,0.786477783,0.53871242,1.220216322,30,0.17016681,-0.988958675,0,1.14039886,2026,2,5,15,3,0,36.72855661,1.671052835,Natural,1995
2,13.0827,80.2707,792,-1.070958813,-0.947413463,-0.214005693,-1.189153468,9.5,-1.19955421,0.952487676,1.073330198,2.884146096,37,0.17016681,-0.988958675,0,1.14039886,2025,12,17,3,2,0,36.72855661,1.671052835,Natural,792
5,26.9124,75.7873,1085,-0.726710547,-0.662287425,0.890454316,-0.945203318,24,0.275494451,0.17777484,-1.356750612,-0.897512481,158,-1.385463387,0.502224792,1.501212903,-0.651178842,2025,12,29,10,0,0,143.257835,0.543568428,Natural,1085
4,17.385,78.4867,1364,-0.007136045,-0.433168287,-0.385387418,-0.976748596,22.8,-0.578150731,-0.523155822,-0.724929601,-0.040336537,80,1.942592448,1.325511232,-0.036982194,-1.789164419,2026,1,10,3,5,0,19.88281506,0.396039113,Natural,1364
2,13.0827,80.2707,227,-0.975334294,-0.794667372,-0.556769144,-1.195462523,9.1,-1.19955421,1.007824307,1.316338279,1.371482665,41,0.17016681,-0.988958675,0,1.14039886,2025,11,23,12,6,3,36.72855661,1.671052835,Natural,227
1,12.9716,77.5946,1632,-0.839069356,-0.799758908,0.642902935,-1.090311596,17.3,-1.042634139,1.044715395,-1.842766774,0.463884607,98,-0.239075493,-1.266572114,-1.350553765,0.075327959,2026,1,21,10,2,0,45.6609975,2.722287664,Natural,1632
4,17.385,78.4867,27,0.774594393,0.091259962,0.262054656,-0.053523459,62.6,0.501459352,-0.098908316,-0.287515056,-1.200045168,67,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,11,15,3,5,3,19.88281506,0.396039113,Natural,27
5,26.9124,75.7873,2109,0.02155131,0.376386,-0.233048107,-0.516187536,41.4,-0.540489914,0.233111471,-0.627726369,-0.418502395,126,-1.385463387,0.502224792,1.501212903,-0.651178842,2026,2,10,14,1,0,143.257835,0.543568428,Natural,2109
5,26.9124,75.7873,1809,-0.635867254,-0.198957613,-1.051871906,0.259826303,75.2,-0.854330055,-1.869680514,1.510744744,0.035296634,1,-1.385463387,0.502224792,1.501212903,-0.651178842,2026,1,28,20,2,0,143.257835,0.543568428,Natural,1809
5,26.9124,75.7873,555,-0.449399443,-0.743752008,0.947581558,-0.867391632,28.2,0.055806353,0.454457996,-1.502555461,-0.99835671,208,-1.385463387,0.502224792,1.501212903,-0.651178842,2025,12,7,6,6,0,143.257835,0.543568428,Natural,555
4,17.385,78.4867,894,-0.501992928,-0.906681172,1.328429836,-0.873700687,27,-0.465168281,1.081606482,-1.308148996,0.110929806,93,1.942592448,1.325511232,-0.036982194,-1.789164419,2025,12,21,10,6,0,19.88281506,0.396039113,Natural,894
6,22.5726,88.3639,1845,-0.501992928,-0.860857345,1.918744669,0.226178006,76.8,0.338262479,1.155388657,-0.773531218,-0.267236052,308,1.203116601,-0.169087021,0.232567624,1.178112943,2026,1,30,9,4,0,24.58784925,0.780706565,Natural,1845
