location_id,name,locality,latitude,longitude,timezone,pollutants_available,isMobile,isMonitor,last_updated_utc
55,Utrecht-Kardinaal de Jongweg,Utrecht,52.10506300014719,5.124434999970995,Europe/Amsterdam,"no,no2,o3,pm10,pm25",False,True,2026-03-03T11:00:00Z
57,"Khlong Nueng, Khlong Luang",Utrecht,14.040299305494,100.60873959621,Asia/Bangkok,"co,no2,o3,pm10,so2",False,True,2020-05-16T08:00:00Z
58,Zegveld-Oude Meije,Zegveld,52.138,4.83819,Europe/Amsterdam,"co,no,no2,o3,pm10",False,True,2026-03-03T11:00:00Z
59,Nisekh,Zegveld,47.863943,106.779094,Asia/Ulaanbaatar,"co,no2,o3,pm10,pm25,so2",False,True,2019-03-13T22:30:00Z
60,Haringey Roadside - UKA00260,London,51.59929999967941,-0.0682179997939665,Europe/London,"no2,pm25",False,True,2026-03-03T11:00:00Z
61,Coya Población,Machalí,-34.203524,-70.529854,America/Santiago,so2,False,True,2026-03-03T09:00:00Z
63,Philippine-Stelleweg,Philippine,51.29449999999999,3.74948,Europe/Amsterdam,"no,no2,o3,pm10,so2",False,True,2026-03-03T11:00:00Z
64,Mustang Bayou C619,Philippine,29.308562,-95.19991,America/Chicago,"no2,o3",False,True,2026-03-03T11:00:00Z
65,Punteras,Chiguayante,-36.923329602986,-73.036132300941,America/Santiago,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T09:00:00Z
66,"Bang Khun Thian, Chom Thong",Chiguayante,13.684229480854,100.44598735492,Asia/Bangkok,"co,no2,o3,pm10",False,True,2026-03-03T09:00:00Z
67,Ventanas,Chiguayante,-32.77898790221,-71.373031276855,America/Santiago,"co,no2,o3,pm10,pm25,so2",False,True,2018-08-29T18:00:00Z
68,Cerro Merquín,Coronel,-37.021182877699,-73.149555550926,America/Santiago,"pm10,pm25,so2",False,True,2026-03-03T08:00:00Z
69,Kingston College,Concepción,-36.784653741124,-73.052063025795,America/Santiago,"co,o3,pm10,pm25,so2",False,True,2026-03-03T09:00:00Z
