city,latitude,longitude,pollutant,value,last_updated,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m,temperature,humidity,wind_speed,wind_direction,hour,month,day_of_week
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,so2,1.8,2026-03-03 12:30:00+00:00,29.74,1376.95,2738.07,5000.0,23.68,65,3.41,157,12,3,1
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,o3,21.2,2026-03-03 12:30:00+00:00,29.74,1376.95,2738.07,5000.0,23.68,65,3.41,157,12,3,1
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,co,1.05,2026-03-03 12:30:00+00:00,29.74,1376.95,2738.07,5000.0,23.68,65,3.41,157,12,3,1
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,no2,8.8,2026-03-03 12:30:00+00:00,29.74,1376.95,2738.07,5000.0,23.68,65,3.41,157,12,3,1
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,pm25,54.0,2026-03-03 12:30:00+00:00,29.74,1376.95,2738.07,5000.0,23.68,65,3.41,157,12,3,1
"Zoo Park, Hyderabad - TSPCB",17.349694,78.451437,pm10,126.0,2026-03-03 12:30:00+00:00,29.74,1376.95,2738.07,5000.0,23.68,65,3.41,157,12,3,1
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,no2,1.9,2026-03-03 12:30:00+00:00,6.01,510.18,3483.13,5000.0,24.96,18,1.47,2,12,3,1
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,o3,80.6,2026-03-03 12:30:00+00:00,6.01,510.18,3483.13,5000.0,24.96,18,1.47,2,12,3,1
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,co,0.65,2026-03-03 12:30:00+00:00,6.01,510.18,3483.13,5000.0,24.96,18,1.47,2,12,3,1
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,pm10,63.0,2026-03-03 12:30:00+00:00,6.01,510.18,3483.13,5000.0,24.96,18,1.47,2,12,3,1
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,pm25,20.0,2026-03-03 12:30:00+00:00,6.01,510.18,3483.13,5000.0,24.96,18,1.47,2,12,3,1
"Sanjay Palace, Agra - UPPCB",27.19865833,78.00598056,so2,13.9,2026-03-03 12:30:00+00:00,6.01,510.18,3483.13,5000.0,24.96,18,1.47,2,12,3,1
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,o3,37.4,2026-03-03 12:30:00+00:00,19.94,69.04,1585.66,5000.0,24.49,21,1.3,37,12,3,1
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,so2,0.12,2026-03-03 12:30:00+00:00,19.94,69.04,1585.66,5000.0,24.49,21,1.3,37,12,3,1
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,no2,5.82,2026-03-03 12:30:00+00:00,19.94,69.04,1585.66,5000.0,24.49,21,1.3,37,12,3,1
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,co,0.175,2026-03-03 12:30:00+00:00,19.94,69.04,1585.66,5000.0,24.49,21,1.3,37,12,3,1
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,pm10,116.6,2026-03-03 12:30:00+00:00,19.94,69.04,1585.66,5000.0,24.49,21,1.3,37,12,3,1
"Talkatora District Industries Center, Lucknow - CPCB",26.83399722,80.8917361,pm25,63.89,2026-03-03 12:30:00+00:00,19.94,69.04,1585.66,5000.0,24.49,21,1.3,37,12,3,1
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,so2,11.93,2026-03-03 12:30:00+00:00,16.1,1139.05,3992.09,4360.59,23.74,19,2.46,108,12,3,1
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,no2,19.13,2026-03-03 12:30:00+00:00,16.1,1139.05,3992.09,4360.59,23.74,19,2.46,108,12,3,1
"Sector-6, Panchkula - HSPCB ",30.7057778,76.8531805555555,o3,61.71,2026-03-03 12:30:00+00:00,16.1,1139.05,3992.09,4360.59,23.74,19,2.46,108,12,3,1
