Unnamed: 0,city,latitude,longitude,dist_road,dist_industry,dist_dump,dist_farmland,datetimeUtc,co,no2,o3,pm10,pm25,so2,datetime_hour,Temperature,Humidity,Wind Speed,Wind Direction,pollution_source
0,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 20:15:00+00:00,0.47,83.64,14.27,130.1,72.1,5.53,2025-02-18 20:00:00+00:00,25,35,10.6,302,Vehicular
1,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 20:30:00+00:00,0.51,81.11,15.31,129.8,72.6,5.36,2025-02-18 20:00:00+00:00,25,35,10.6,302,Vehicular
2,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 20:45:00+00:00,0.51,68.79,20.38,127.3,71.6,5.32,2025-02-18 20:00:00+00:00,25,35,10.6,302,Vehicular
3,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 21:00:00+00:00,0.58,63.01,21.86,123,70.2,5.1,2025-02-18 21:00:00+00:00,24.4,37,11,298,Vehicular
4,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 21:15:00+00:00,0.6,57.01,22.6,122.7,70.2,4.84,2025-02-18 21:00:00+00:00,24.4,37,11,298,Vehicular
5,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 21:30:00+00:00,0.63,53.84,22.53,124.9,69.9,4.68,2025-02-18 21:00:00+00:00,24.4,37,11,298,Vehicular
6,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 21:45:00+00:00,0.67,52.57,24.13,115.5,63.1,4.64,2025-02-18 21:00:00+00:00,24.4,37,11,298,Vehicular
7,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 22:00:00+00:00,0.68,49.94,24.71,100.6,54.2,4.58,2025-02-18 22:00:00+00:00,23.5,40,10.5,301,Vehicular
8,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 22:15:00+00:00,0.67,48.38,25.43,101.2,53,5.64,2025-02-18 22:00:00+00:00,23.5,40,10.5,301,Vehicular
9,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 22:30:00+00:00,0.59,47.75,26.52,102.8,51.8,5.88,2025-02-18 22:00:00+00:00,23.5,40,10.5,301,Vehicular
10,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 22:45:00+00:00,0.51,48.66,27.31,96.2,48.1,6.37,2025-02-18 22:00:00+00:00,23.5,40,10.5,301,Vehicular
11,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 23:00:00+00:00,0.45,50.86,24.51,87.9,43.6,6.73,2025-02-18 23:00:00+00:00,22.9,42,10.6,310,Vehicular
12,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 23:15:00+00:00,0.39,50.79,23.6,87.7,43,7.48,2025-02-18 23:00:00+00:00,22.9,42,10.6,310,Vehicular
13,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 23:30:00+00:00,0.3,51.13,22.71,88.3,42.3,7.78,2025-02-18 23:00:00+00:00,22.9,42,10.6,310,Vehicular
14,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-18 23:45:00+00:00,0.27,52.65,21.2,88.4,41.8,8.07,2025-02-18 23:00:00+00:00,22.9,42,10.6,310,Vehicular
15,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 00:15:00+00:00,0.25,60.48,15.13,85.1,40.3,7.99,2025-02-19 00:00:00+00:00,22.4,43,10.1,319,Vehicular
16,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 00:30:00+00:00,0.33,62.67,14.13,85.5,40.6,10.45,2025-02-19 00:00:00+00:00,22.4,43,10.1,319,Vehicular
17,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 00:45:00+00:00,0.36,63.26,14.6,93.1,43.8,10.46,2025-02-19 00:00:00+00:00,22.4,43,10.1,319,Vehicular
18,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 01:00:00+00:00,0.45,63.45,13.35,101.4,47.9,10.44,2025-02-19 01:00:00+00:00,22,49,10.9,315,Vehicular
19,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 01:15:00+00:00,0.54,66.15,10.81,100.6,48.5,9.45,2025-02-19 01:00:00+00:00,22,49,10.9,315,Vehicular
20,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 01:30:00+00:00,0.7,68.06,7.91,101.2,49.1,10.35,2025-02-19 01:00:00+00:00,22,49,10.9,315,Vehicular
21,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 01:45:00+00:00,0.84,70.68,6.27,99.7,49.3,10.45,2025-02-19 01:00:00+00:00,22,49,10.9,315,Vehicular
22,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 02:15:00+00:00,0.98,64.42,16.79,100,50.4,9.91,2025-02-19 02:00:00+00:00,21.7,50,10.7,319,Vehicular
23,"Raikhad, Ahmedabad - IITM",23.020509,72.579261,3822.014197,4154.568994,4667.715767,4668.613415,2025-02-19 02:30:00+00:00,1.02,63.25,18.22,99.7,51,10.38,2025-02-19 02:00:00+00:00,21.7,50,10.7,319,Vehicular
