country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,NH3,1,1,1
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,PM10,95,348,203
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",24.792403,84.992416,O3,16,40,22
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,PM10,42,56,48
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",24.762518,84.982348,SO2,6,9,7
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,PM10,46,263,163
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,NO2,63,171,103
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",25.697189,85.2459,CO,6,94,21
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,NO2,9,10,9
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,PM10,40,141,89
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",26.0881305,87.93840336,O3,32,34,32
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,PM10,101,201,125
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,NO2,4,12,7
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27.308328,84.531742,NH3,1,2,1
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,SO2,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",25.376776,86.471523,O3,8,10,10
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,PM10,114,173,144
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",26.11442,85.39813,SO2,4,8,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",26.446912,91.439057,NH3,NA,NA,NA
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,NO2,18,32,28
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,NH3,1,2,2
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,CO,29,66,44
India,Assam,Silchar,"Tarapur, Silchar - PCBA",24.82827,92.79525,O3,2,8,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,NO2,1,12,2
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",26.146529,87.454184,O3,9,10,10
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",16.536107,80.594233,CO,20,34,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,PM2.5,50,90,73
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,NO2,27,60,42
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",16.509717,80.612222,NH3,4,6,4
