city,latitude,longitude,timestamp,CO,NO2,O3,PM10,PM2.5,SO2,temperature,humidity,wind_speed,wind_direction,distance_to_road_km,distance_to_industry_km,distance_to_dump_km,distance_to_farmland_km,year,month,day,hour,day_of_week,season,road_proximity,industry_proximity,pollution_source,aqi
4,17.385,78.4867,1083,-0.7601791279835189,-1.0492441914308073,1.442684320129475,-0.5687629997505235,42.0,-0.3019714076493585,0.9155965885909142,-1.4053522282304038,-0.5697687380498876,84,1.9425924477533985,1.3255112319937157,-0.0369821940427954,-1.7891644189032367,2025,12,29,8,0,0,19.882815062242454,0.39603911318559,Natural,42.0
9,18.5204,73.8567,942,-0.9657718426034888,-0.96268807266571,0.6619453484797101,-1.1723293192900015,14.0,-0.6723027734498344,1.4136262691158614,-1.7455635416517743,0.186562977528417,81,-0.6550077498570056,0.0061221758322854,-1.5235588167726977,-0.8959622647681503,2025,12,23,10,1,0,60.65304649941548,0.7009004565590577,Natural,14.0
1,12.9716,77.5946,1981,-0.5593676392849437,-0.3873444596977097,-0.7281508693357249,-1.0440451886561752,19.0,-0.8543300549449836,-1.0027399586162904,0.9275253495161396,0.6655730640613435,73,-0.2390754926548453,-1.2665721138750237,-1.3505537651969002,0.075327958724697,2026,2,5,1,3,0,45.66099750375892,2.722287664202811,Natural,19.0
4,17.385,78.4867,379,-0.6000080596167983,-0.5400905516361169,0.0716305162567171,-0.5267026290509083,44.0,0.1060207750121828,-0.2833637534135886,0.0040946416581328,0.0605076915986997,24,1.9425924477533985,1.3255112319937157,-0.0369821940427954,-1.7891644189032367,2025,11,29,21,5,3,19.882815062242454,0.39603911318559,Natural,44.0
3,28.6139,77.209,247,0.1004415378675178,-0.6622874251868426,2.451932259091366,0.0873787831634738,72.6,1.9200167871534968,0.6942500639131599,-1.4053522282304038,-0.4941355664920571,306,0.6856508401454493,1.680996711650915,-0.6056299175206125,1.1372634211798447,2025,11,24,8,0,3,29.467460806877423,0.3544953745262739,Natural,72.6
5,26.9124,75.7873,582,-0.9657718426034888,-0.9372303906759754,0.5857756927090013,-1.1639172451500788,12.9,-0.4651682807139748,1.1553886569918148,-2.0371732388700927,-0.6706129667936617,295,-1.3854633868918491,0.5022247923682317,1.5012129028405814,-0.6511788420212952,2025,12,8,9,0,0,143.25783502169855,0.543568427645842,Natural,12.9
5,26.9124,75.7873,574,0.1052227637889125,0.1167176436990337,-1.2803808736733635,-0.8400523907630416,29.8,-0.5655971256768159,-1.5007696391412375,-0.1417102069510261,-0.2420249946326222,352,-1.3854633868918491,0.5022247923682317,1.5012129028405814,-0.6511788420212952,2025,12,8,1,0,0,143.25783502169855,0.543568427645842,Natural,29.8
0,23.0225,72.5714,1102,0.1315195063565831,0.2338229808518126,-1.1851688039599777,-0.4005215169520627,50.1,-0.4839986891445076,-0.7260568027690971,0.3929075712825567,0.0100855772268127,69,-1.303405274167494,0.4447955202347834,0.0,0.7873704342236211,2025,12,30,3,1,0,124.24832867360684,0.558069868971395,Natural,50.1
9,18.5204,73.8567,263,-0.1888226303768584,-0.3567952413100282,-0.7852781111637565,-0.915761058022349,25.9,-0.8982676746162265,-0.1173538599052731,0.7817205009069805,-1.7294773686032885,236,-0.6550077498570056,0.0061221758322854,-1.5235588167726977,-0.8959622647681503,2025,11,25,0,1,3,60.65304649941548,0.7009004565590577,Natural,25.9
4,17.385,78.4867,1528,1.6423868975172922,0.6920612566670342,-0.4044298323102126,-0.0682445884251025,65.0,0.5705041829653225,-0.4678191906450505,-0.2875150555601851,-0.998356710210927,62,1.9425924477533985,1.3255112319937157,-0.0369821940427954,-1.7891644189032367,2026,1,17,2,5,0,19.882815062242454,0.39603911318559,Natural,65.0
