city,latitude,longitude,datetimeUtc,co,no2,o3,pm10,pm25,so2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T20:15:00Z,0.52,11.4,61.3,72,26,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T20:30:00Z,0.47,12,60.3,72,26,2.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T20:45:00Z,0.4,11.2,61.2,72,26,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:00:00Z,0.38,10.4,59.8,73,27,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:15:00Z,0.37,10.1,58.7,73,31,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:30:00Z,0.37,10,58.1,73,31,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T21:45:00Z,0.38,10.3,56.5,73,31,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:00:00Z,0.37,9.7,57.3,72,32,2.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:15:00Z,0.38,9.3,56.3,66,35,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:30:00Z,0.45,9.7,55,66,35,2.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T22:45:00Z,0.42,10.1,57.4,66,35,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:00:00Z,0.42,10.7,59.7,67,35,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:15:00Z,0.42,10.2,58.8,70,33,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:30:00Z,0.45,10.2,56.1,70,33,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-18T23:45:00Z,0.46,10.3,56.3,70,33,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:00:00Z,0.52,10.9,59.1,72,32,2.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:15:00Z,0.63,12.3,59.1,81,28,2.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:30:00Z,0.54,14.6,60.2,81,28,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T00:45:00Z,0.49,16.6,63.9,81,28,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:00:00Z,0.48,18.3,62.9,88,31,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:15:00Z,0.7,26.4,50.8,113,43,2.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:30:00Z,0.76,27.3,47.9,113,43,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T01:45:00Z,0.77,22.1,45,113,43,3.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:00:00Z,0.74,23.6,41.2,128,47,3.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:15:00Z,0.93,25.5,38.7,186,62,3.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:30:00Z,1.05,27.4,37.4,186,62,4.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T02:45:00Z,1,27.3,44.4,186,62,6.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:00:00Z,0.8,24.8,52.2,197,64,7.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:15:00Z,0.8,23.2,57.3,240,75,8.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:30:00Z,0.76,21.8,61.3,240,75,8.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T03:45:00Z,0.71,20.6,67.9,240,75,8.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:00:00Z,0.69,20.1,73.9,235,72,7.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:15:00Z,0.64,20.6,77.5,211,57,7.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:30:00Z,0.63,21.7,76.2,211,57,6.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T04:45:00Z,0.65,25.7,75.2,211,57,6.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:00:00Z,0.63,28.7,82.8,209,56,7.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:15:00Z,0.62,25.3,84.1,203,50,6.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:30:00Z,0.56,19.8,91.7,203,50,5.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T05:45:00Z,0.52,14.3,93.7,203,50,4.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:00:00Z,0.49,15.8,92.6,191,46,4.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:15:00Z,0.52,17,96.7,140,30,5.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:30:00Z,0.53,16.4,98.3,140,30,5.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T06:45:00Z,0.55,15.4,100.7,140,30,5.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:00:00Z,0.55,13.2,102.4,136,28,5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:15:00Z,0.53,12.5,105.6,122,22,4.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:30:00Z,0.52,12.5,103.4,122,22,4.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T07:45:00Z,0.54,12.5,94,122,22,3.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:00:00Z,0.5,12.5,95.3,134,21,3.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:15:00Z,0.46,12.5,105.7,186,19,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:30:00Z,0.47,12.5,107.7,186,19,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T08:45:00Z,0.46,13.6,107.8,186,19,3.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:00:00Z,0.44,15.1,111.3,186,19,4.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:15:00Z,0.48,18,114.8,186,19,6.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:30:00Z,0.46,18,116.3,186,19,6.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T09:45:00Z,0.45,16.1,113.6,186,19,4.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:00:00Z,0.49,16.8,110.3,186,19,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:15:00Z,0.45,14.7,108.2,215,19,2.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:30:00Z,0.34,13.3,103.8,215,19,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T10:45:00Z,0.29,12.9,96.8,215,19,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:00:00Z,0.31,12.3,91.5,203,21,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:15:00Z,0.41,13.6,89.1,158,27,3.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:30:00Z,0.35,14.3,90.5,158,27,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T11:45:00Z,0.48,15.2,86.8,158,27,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:00:00Z,0.46,16.3,85.5,151,26,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:15:00Z,0.47,17.6,80,124,23,3.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:30:00Z,0.42,19,78.2,124,23,3.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T12:45:00Z,0.49,20.3,76.4,124,23,3.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:00:00Z,0.65,19.9,75.2,116,23,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:15:00Z,0.46,18.3,80.3,81,26,3.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:30:00Z,0.44,16.2,81.5,81,26,3.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T13:45:00Z,0.34,14,81,81,26,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:00:00Z,0.37,13.2,80,90,25,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:15:00Z,0.38,13,79.6,124,18,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:30:00Z,0.37,12.9,78.5,124,18,2.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T14:45:00Z,0.35,12,81.7,124,18,2.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:00:00Z,0.35,12.1,80.5,116,15,1.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:15:00Z,0.35,13.2,80.2,85,2,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:30:00Z,0.34,12.4,81.7,85,2,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T15:45:00Z,0.33,11.8,81,85,2,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:00:00Z,0.33,11.8,80.2,85,4,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:15:00Z,0.33,11.5,79.8,89,10,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:30:00Z,0.33,11.6,78.7,89,10,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T16:45:00Z,0.33,10.9,78.8,89,10,1.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:00:00Z,0.32,11.1,78.5,81,11,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:15:00Z,0.32,11.1,78.9,51,16,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:30:00Z,0.33,13,71,51,16,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T17:45:00Z,0.32,13.5,66.5,51,16,1.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T18:00:00Z,0.31,11.5,61.4,48,15,1.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T18:15:00Z,0.22,12.2,58.2,39,11,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T19:15:00Z,0.16,9.6,51.5,27,15,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T19:30:00Z,0.16,10.4,50.6,27,15,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T19:45:00Z,0.17,10.8,50.5,27,15,0.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:00:00Z,0.16,11.1,48.5,26,15,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:15:00Z,0.16,11.3,47,22,14,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:30:00Z,0.15,11.8,46.4,22,14,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-19T20:45:00Z,0.15,11.9,46.2,22,14,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T03:15:00Z,0.49,25,41.9,94,40,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T03:30:00Z,0.49,24.2,45.8,94,40,2.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T03:45:00Z,0.4,22.1,52.8,94,40,3.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T04:00:00Z,0.4,21.2,55.2,95,39,3.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T04:15:00Z,0.4,21.4,61.4,100,35,4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T04:30:00Z,0.4,22,62.3,100,35,3.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T04:45:00Z,0.37,20.5,68.3,100,35,3.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T05:00:00Z,0.34,18,73.4,99,33,3.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T05:15:00Z,0.37,17.4,73.5,96,25,3.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T05:30:00Z,0.38,16.9,72.7,96,25,3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T05:45:00Z,0.39,16.6,74.7,96,25,2.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T06:00:00Z,0.4,16.6,80.7,92,24,1.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T06:15:00Z,0.45,16.6,82.8,79,20,2.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T06:30:00Z,0.46,16.8,84,79,20,2.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T06:45:00Z,0.45,16.8,83.8,79,20,2.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T07:00:00Z,0.41,16.1,85.7,79,19,2.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T07:15:00Z,0.38,15,88.2,79,16,2.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T07:30:00Z,0.35,14.1,88.5,79,16,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T07:45:00Z,0.33,13.8,89,79,16,1.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T08:00:00Z,0.33,13.6,85.8,94,16,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T08:15:00Z,0.34,14.8,83.8,153,15,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T08:30:00Z,0.35,14.5,84.6,153,15,1.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T08:45:00Z,0.33,15.3,86.4,153,15,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T09:00:00Z,0.31,14.4,89.2,155,16,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T09:15:00Z,0.29,14.4,90.5,164,18,1.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T09:30:00Z,0.29,14.3,94.1,164,18,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T09:45:00Z,0.31,13.6,96.9,164,18,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T10:00:00Z,0.23,12,97.1,166,18,1.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T10:15:00Z,0.16,10.4,97.9,174,15,1.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T10:30:00Z,0.13,9.4,98.5,174,15,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T10:45:00Z,0.11,9.1,95.4,174,15,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T11:00:00Z,0.1,9.2,95.3,173,15,1.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T11:15:00Z,0.11,8.9,95.5,169,17,1.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T11:30:00Z,0.14,10.6,92.7,169,17,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T11:45:00Z,0.14,10.4,94.2,169,17,0.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T12:00:00Z,0.17,10.4,93.4,168,17,0.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T12:15:00Z,0.19,12.1,91.8,164,18,0.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T12:30:00Z,0.23,15.2,89.2,164,18,0.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T12:45:00Z,0.33,15.4,85.3,164,18,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T13:00:00Z,0.35,15.1,82.3,164,18,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T13:15:00Z,0.47,33.3,62.7,162,18,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T13:30:00Z,0.61,41.6,53.8,162,18,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T13:45:00Z,0.96,67.8,35.1,162,18,3.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T14:00:00Z,0.88,52.4,35.8,175,25,3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T14:15:00Z,0.71,46.8,45.2,230,52,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T14:30:00Z,0.74,45.6,43,230,52,1.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T14:45:00Z,0.74,43.7,45,230,52,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T15:00:00Z,0.78,45.1,41.7,229,48,1.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T15:15:00Z,0.88,51.8,36,224,31,1.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T15:30:00Z,0.87,69.6,21.7,224,31,1.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T15:45:00Z,0.71,50.9,34.8,224,31,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T16:00:00Z,0.49,43.7,46.6,232,32,2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T16:15:00Z,0.45,27.2,62,261,34,1.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T16:30:00Z,0.35,17.2,70.5,261,34,1.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T16:45:00Z,0.34,18,69.6,261,34,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T17:00:00Z,0.35,17.9,66.6,239,31,0.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T17:15:00Z,0.35,17.6,65.9,150,17,1.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T17:30:00Z,0.38,16.4,66.8,150,17,0.8
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T17:45:00Z,0.37,16.2,66.3,150,17,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T18:00:00Z,0.34,15.6,66.7,147,19,1.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T18:15:00Z,0.33,14.3,64.6,137,24,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T19:15:00Z,0.3,12.8,65.7,110,23,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T19:30:00Z,0.3,12.2,65,110,23,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T19:45:00Z,0.3,11.7,62.5,110,23,0.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T20:00:00Z,0.31,10.8,61.2,109,26,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T20:15:00Z,0.3,10.9,60.7,101,35,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T20:30:00Z,0.3,10,60.7,101,35,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T20:45:00Z,0.29,9.5,58.8,101,35,0.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T21:00:00Z,0.3,9.9,58.1,102,36,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T21:15:00Z,0.31,9.9,57.5,105,39,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T21:30:00Z,0.3,10.4,56.2,105,39,0.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T21:45:00Z,0.32,10.6,53.7,105,39,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T22:00:00Z,0.35,11,52.4,105,38,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T22:15:00Z,0.38,11.5,50.6,106,31,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T22:30:00Z,0.39,11.5,48.3,106,31,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T22:45:00Z,0.38,11.5,44.2,106,31,0.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T23:00:00Z,0.38,11.7,39.7,103,34,0.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T23:15:00Z,0.38,11.8,37.9,89,44,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T23:30:00Z,0.4,12,37.2,89,44,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-20T23:45:00Z,0.39,11.8,39.2,89,44,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T00:00:00Z,0.38,12.2,39.4,88,43,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T00:15:00Z,0.4,13.6,36.5,86,42,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T00:30:00Z,0.68,15.6,33.6,86,42,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T00:45:00Z,0.87,17.6,28.8,86,42,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T01:00:00Z,0.57,18.3,30.1,90,46,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T01:15:00Z,0.69,18.6,28.9,109,65,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T01:30:00Z,0.6,21,24.2,109,65,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T01:45:00Z,0.56,22.6,23.6,109,65,0.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T02:00:00Z,0.5,21.6,23.9,112,67,0.6
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T02:15:00Z,0.49,18.1,24.5,124,77,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T02:30:00Z,0.46,15.7,26,124,77,0.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T02:45:00Z,0.49,15.2,24,124,77,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T03:00:00Z,0.53,15.8,24,113,72,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T03:15:00Z,0.55,15.8,24,68,51,0.2
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T03:30:00Z,0.54,15.2,26.4,68,51,0.3
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T03:45:00Z,0.52,15,27.8,68,51,0.1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T04:00:00Z,0.52,15.8,30.2,71,53,0.5
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T04:15:00Z,0.52,16.7,38.1,83,60,0.7
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T04:30:00Z,0.49,16.5,52.1,83,60,1
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T04:45:00Z,0.48,15.5,63.8,83,60,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T05:00:00Z,0.44,15.6,70.4,95,58,0.9
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T05:45:00Z,0.46,15.4,81.4,142,49,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T06:00:00Z,0.4,15.4,83,135,44,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T06:15:00Z,0.41,15.4,85.2,110,20,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T06:30:00Z,0.45,16.3,85.4,110,20,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T06:45:00Z,0.44,16.7,85.8,110,20,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T07:00:00Z,0.41,16.6,88.3,106,18,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T07:15:00Z,0.37,15.6,90.3,91,11,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T07:30:00Z,0.37,14.8,93.4,91,11,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T07:45:00Z,0.35,14.2,92.9,91,11,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T08:00:00Z,0.35,14.5,92.4,89,14,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T08:15:00Z,0.35,15.6,91.8,84,27,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T08:30:00Z,0.34,14.7,91.9,84,27,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T08:45:00Z,0.34,17.1,93,84,27,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T09:00:00Z,0.34,15.7,94.4,79,22,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T09:15:00Z,0.37,14.8,97,60,2,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T09:30:00Z,0.33,14.1,97.6,60,2,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T09:45:00Z,0.19,12.4,105.9,60,2,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T10:00:00Z,0.17,10.9,106.3,58,2,0.4
"Karni Colony, Nagaur - RSPCB",27.213494,73.734444,2025-02-21T10:15:00Z,0.17,9.4,107.2,51,4,0.4
